Show,A,Z,N,symb,symb A,radius, unc, energy, unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quad , unc,Qb-,unc,Qb- n,unc,Qa, unc, Qec, unc,Sn,unc, Sp,unc,Binding/A,unc,Total BE MeV,atomic mass, unc, mass excess,unc
0,1,0,1,n,n 1,-0.1149,27,0, ,1/2+, ,613.9,6,s,613.9,0.6,B-,100, , , , , , , , ,-1.9130427, , , ,782.347,0,,,,,,,0,0,,,0,0,0,1008664.91582,49,8071.31713,46
0,1,1,0,H,H 1,0.8783,86,0, ,1/2+, ,STABLE, , , , , , , , , , , , , , ,2.792847351, , , ,,,,,,,-782.347,0,,,0,0,0,0,0,1007825.03224,9,7288.97061,9
2,2,1,1,H,H 2,2.1421,88,0, ,1+, ,STABLE, , , , , , , , , , , , , , ,0.85743823, ,0.00286, ,,,,,,,,,2224.57,0,2224.57,0,1112.283,0,2.224566,2014101.77811,12,13135.72176,11
1,3,1,2,H,H 3,1.7591,363,0, ,1/2+, ,12.32,2,Y,388781328.006973,631138.51949184,B-,100, , , , , , , , ,2.978962467, , , ,18.592,0,,,,,,,6257.23,0,,,2827.265,0,8.481795,3016049.28199,23,14949.80993,22
1,3,2,1,He,He 3,1.9661,30,0, ,1/2+, ,STABLE, , , , , , , , , , , , , , ,-2.127625306, , , ,-13736,2000,,,,,-18.592,0,,,5493.47,0,2572.68,0,7.71804,3016029.32265,22,14931.21793,21
0,4,0,4,n,n 4,,,0, ,0+,LT,2.6, ,MeV,1.75476044258225E-22, , , , , , , , , , , , , , , , ,,,, ,,,,,,,, ,,, ,,,
0,4,1,3,H,H 4,,,0, ,2-, , , , , , ,N,100, , , , , , , ,1, , , , ,22196.211,100000,1618.59,100,,,,,-1600,100,,,1720.449,25000,6.881796,4026431.868,107354,24621.127,100000
2,4,2,2,He,He 4,1.6755,28,0, ,0+, ,STABLE, , , , , , , , , , , , , ,0, , , , ,-22898.273,212132,-34313,2000,0,0,-22196.211,100,20577.62,0,19813.86,0,7073.915,0,28.29566,4002603.25413,6,2424.91561,6
0,4,3,1,Li,Li 4,,,0, ,2-, , , , , , ,P,100, , , , , , , ,1, , , , ,,,,,,,22898.273,212,11415,2011,-3103,212,1153.76,53033,4.61504,4027185.562,227733,25323.189,212132
0,5,1,4,H,H 5,,,0, ,(1/2+), ,5.3,4,MeV,8.60825877493181E-23,1.14059428767846E-21,2N,100, , , , , , , , , , , , ,21661.211,91652,22396.21,89,,,,,-200,134,,,1336.359,17889,6.681795,5035311.493,96020,32892.444,89443
