nodeID,Element,#Protons,X,Y,Z,Radius,Volume,Ratio
260, Hydrogen 1,1,0,0,0,50,523599,523599
261, Hydrogen 2,2,50,0,0,100,4188790,2094400
314, Hydrogen 3,3,0,0,0,150,14137200,4712390
397, Helium 3,3,11.7395,-11.7395,11.7395,107.511,5205370,1735120
259, Helium 4,4,-1.77636E-15,1.77636E-15,-1.77636E-15,111,5728720,1432180
267, Lithium 6,6,0,-36.1803,-22.3607,135.065,10320900,1720150
747, Lithium 7,7,0,-36.1803,-22.3607,135.065,10320900,1474420
720, Lithium 8,8,2.95559,-3.24107,2.77929,149.082,13879300,1734910
768, Lithium 9,9,-7.10543E-15,-3.3134,4.64687,149.144,13896500,1544060
722, Be 8 Alpha 2,8,2.95559,-3.24107,2.77929,149.082,13879300,1734910
723, Be 8 alpha 2,8,2.95559,-3.24107,2.77929,149.082,13879300,1734910
2647, Beryllium 10,10,-8.306,5.13339,8.88178E-15,149.855,14096200,1409620
721, Beryllium 8,8,2.95559,-3.24107,2.77929,149.082,13879300,1734910
245, Beryllium 9,9,0,0,0,145.106,12798000,1422000
2667, Beryllium Alpha decay,8,2.95559,-3.24107,2.77929,149.082,13879300,1734910
547, Boron 10,10,-9.3037,-1.25,0,152.536,14866300,1486630
246, Boron 11,11,-7.10543E-15,12.123,1.06581E-14,155.611,15783600,1434870
748, Boron 12,12,0,6.20929,15.1866,158.801,16774400,1397870
249, Carbon 12,12,0,0,0,145.106,12798000,1066500
546, Carbon 13,13,-19.4369,19.4369,19.4369,173.56,21899700,1684590
542, Carbon 14 ,14,0,0,0,207.226,37275200,2662510
541, Carbon 14 pre-decay ,14,27.8369,10.6327,17.2041,175.684,22713400,1622390
733, Carbon valence electron positions,12,0,0,0,145.106,12798000,1066500
280, Nitrogen 14,14,25.5896,19.306,13.2194,173.219,21770900,1555060
804, Nitrogen 15,15,-0.290996,9.94149,0.833294,201.212,34123400,2274890
2673, Nitrogen 16,16,0,10.5222,0,201.216,34125300,2132830
281, Oxygen 16,16,26.7601,26.4659,1.50573E-14,177.506,23427700,1464230
400, Oxygen 17,17,-5.55112E-17,10.5222,-1.33227E-15,201.216,34125300,2007370
401, Oxygen 18,18,3.93032,30.5241,11.2548,203.249,35170300,1953910
2674, Oxygen 19,19,3.93032,30.5241,11.2548,203.249,35170300,1851070
2323, Oxygen missing pairs for Neon configuration,20,6.9552E-16,10.5222,0,201.216,34125300,1706260
643, Fluorine 18 A,18,-1.38778E-15,10.5222,-5.66214E-15,201.216,34125300,1895850
644, Fluorine 18 B,18,3.93032,30.5241,11.2548,203.249,35170300,1953910
255, Fluorine 19,19,3.93032,30.5241,11.2548,203.249,35170300,1851070
2675, Fluorine 20,20,3.93032,30.5241,11.2548,203.249,35170300,1758520
, ,0,3.93032,30.5241,11.2548,-1,-4.18879, -inf
784, Max isotope Neon 28,28,0,37.6363,0,274.316,86465300,3088050
277, Neon 20,20,6.9552E-16,10.5222,0,201.216,34125300,1706260
505, Neon 21,21,3.10862E-15,37.0064,-1.77636E-15,203.849,35482500,1689640
506, Neon 22,22,3.10862E-15,37.0064,-1.77636E-15,203.849,35482500,1612840
2565, Neon 23,23,-26.4863,47.2089,17.1878,236.08,55114300,2396270
2583, Sodium 22,22,-1.28503,49.7781,0,207.882,37630500,1710480
299, Sodium 23,23,-1.28503,49.7781,0,207.882,37630500,1636110
2676, Sodium 24,24,26.2649,47.8434,-17.9897,235.863,54963000,2290120
239, 240 P,230,0,153.317,0,583.541,832342000,3618880
477, allnucletatom,132,-45.2704,152.222,-86.923,497.231,514949000,3901130
2105, antimony suspect fission  A,120,95.2035,163.03,76.0271,549.406,694654000,5788780
243, Backbone Initial,20,6.9552E-16,10.5222,0,201.216,34125300,1706260
698, Centurion,100,-118.018,75.4175,43.1891,470.242,435566000,4355660
2598, double Li ME 70 to 72,70,-49.8215,107.212,54.3362,409.078,286753000,4096460
